product_id,price,sales_quantity,inventory,date
PRD93767,242488.76,57,792,2024-07-31 13:00:00
PRD16410,6094.81,66,303,2024-06-21 21:00:00
PRD16251,35207.18,61,456,2024-09-15 09:00:00
PRD26157,157545.96,65,853,2024-02-16 13:00:00
PRD69628,272285.32,57,894,2024-09-02 01:00:00
PRD50075,335685.93,57,952,2024-02-20 20:00:00
PRD54033,190002.69,63,767,2024-08-24 11:00:00
PRD24844,216373.5,55,487,2024-06-25 03:00:00
PRD70795,176350.3,43,90,2024-05-12 11:00:00
PRD69953,165771.73,64,809,2024-07-27 05:00:00
PRD41285,401769.71,40,428,2024-09-20 15:00:00
PRD10216,407175.79,34,425,2024-03-25 10:00:00
PRD65628,361350.31,56,843,2024-09-18 15:00:00
PRD14753,59871.61,59,442,2024-08-29 08:00:00
PRD73672,160225.73,63,714,2024-05-17 11:00:00
PRD73697,245914.96,36,118,2024-08-01 17:00:00
PRD60639,426184.71,49,829,2024-03-20 11:00:00
PRD54253,216127.1,52,566,2024-10-02 11:00:00
PRD13230,10644.02,77,788,2024-04-24 20:00:00
PRD11818,222636.01,55,683,2024-04-27 06:00:00
PRD16329,444061.01,46,794,2024-07-06 10:00:00
PRD63678,332381.07,38,173,2024-07-29 08:00:00
PRD81447,49086.01,75,669,2024-07-25 10:00:00
PRD42328,327537.31,44,363,2024-04-17 11:00:00
PRD94350,80770.25,78,985,2024-08-22 15:00:00
PRD49680,76363.93,57,170,2024-05-04 03:00:00
PRD42459,32132.08,62,362,2024-08-19 17:00:00
PRD22647,344456.64,47,645,2024-01-24 14:00:00
PRD41216,277681.7,39,98,2024-07-15 18:00:00
PRD52944,40881.76,73,863,2024-09-16 12:00:00
PRD54363,303925.81,44,432,2024-05-21 18:00:00
PRD81262,470105.61,25,303,2024-03-21 00:00:00
PRD45387,124843.08,65,585,2024-03-20 00:00:00
PRD27450,147063.96,52,254,2024-08-01 16:00:00
PRD84189,102954.2,68,685,2024-01-24 14:00:00
PRD22971,65874.64,70,781,2024-02-17 06:00:00
PRD47329,267154.35,59,748,2024-04-19 01:00:00
PRD95770,32362.56,61,291,2024-07-10 11:00:00
PRD45997,413993.47,37,548,2024-03-06 01:00:00
PRD16304,127634.59,61,619,2024-01-24 06:00:00
PRD75990,203357.74,63,789,2024-03-11 19:00:00
PRD16320,145341.51,57,385,2024-08-03 21:00:00
PRD81839,232967.26,47,282,2024-09-27 10:00:00
PRD62774,7864.41,72,474,2024-06-24 02:00:00
PRD14912,398879.07,24,44,2024-06-16 10:00:00
